,breed,animal_type,date,ave_hsIncome,breed_cumsum,cum_mean
0,American Pit Bull Terrier Mix,Dog,By Jan-31-2019,75204.0,1,75204.0
1,American Pit Bull Terrier Mix,Dog,By Feb-28-2019,36480.0,2,55842.0
2,American Pit Bull Terrier Mix,Dog,By Mar-31-2019,0.0,0,0.0
1,Australian Cattle Dog/Labrador Retriever,Dog,By Jan-31-2019,0.0,0,0.0
0,Australian Cattle Dog/Labrador Retriever,Dog,By Feb-28-2019,42398.0,1,42398.0
2,Australian Cattle Dog/Labrador Retriever,Dog,By Mar-31-2019,0.0,0,0.0
1,Australian Kelpie Mix,Dog,By Jan-31-2019,0.0,0,0.0
0,Australian Kelpie Mix,Dog,By Feb-28-2019,42398.0,1,42398.0
2,Australian Kelpie Mix,Dog,By Mar-31-2019,0.0,0,0.0
0,Basenji Mix,Dog,By Jan-31-2019,47076.0,1,47076.0
1,Basenji Mix,Dog,By Feb-28-2019,0.0,0,0.0
2,Basenji Mix,Dog,By Mar-31-2019,0.0,0,0.0
1,Basset Hound/German Shepherd,Dog,By Jan-31-2019,0.0,0,0.0
0,Basset Hound/German Shepherd,Dog,By Feb-28-2019,57710.0,1,57710.0
2,Basset Hound/German Shepherd,Dog,By Mar-31-2019,0.0,0,0.0
0,Bat Mix,Other,By Jan-31-2019,25369.0,1,25369.0
1,Bat Mix,Other,By Feb-28-2019,23348.0,3,28453.0
2,Bat Mix,Other,By Mar-31-2019,0.0,0,0.0
0,Beagle,Dog,By Jan-31-2019,57710.0,1,57710.0
1,Beagle,Dog,By Feb-28-2019,0.0,0,0.0
2,Beagle,Dog,By Mar-31-2019,0.0,0,0.0
0,Beagle Mix,Dog,By Jan-31-2019,87290.0,3,44662.0
1,Beagle Mix,Dog,By Feb-28-2019,57710.0,4,47924.0
2,Beagle Mix,Dog,By Mar-31-2019,23348.0,6,39732.0
0,Beagle/German Shepherd,Dog,By Jan-31-2019,43458.0,1,43458.0
1,Beagle/German Shepherd,Dog,By Feb-28-2019,0.0,0,0.0
2,Beagle/German Shepherd,Dog,By Mar-31-2019,0.0,0,0.0
0,Beagle/Pug,Dog,By Jan-31-2019,38206.0,1,38206.0
1,Beagle/Pug,Dog,By Feb-28-2019,0.0,0,0.0
2,Beagle/Pug,Dog,By Mar-31-2019,0.0,0,0.0
0,Black Mouth Cur Mix,Dog,By Jan-31-2019,45090.0,1,45090.0
1,Black Mouth Cur Mix,Dog,By Feb-28-2019,0.0,0,0.0
2,Black Mouth Cur Mix,Dog,By Mar-31-2019,0.0,0,0.0
1,Border Terrier Mix,Dog,By Jan-31-2019,0.0,0,0.0
0,Border Terrier Mix,Dog,By Feb-28-2019,23348.0,1,23348.0
2,Border Terrier Mix,Dog,By Mar-31-2019,0.0,0,0.0
0,Boxer Mix,Dog,By Jan-31-2019,62294.0,1,62294.0
1,Boxer Mix,Dog,By Feb-28-2019,0.0,0,0.0
2,Boxer Mix,Dog,By Mar-31-2019,0.0,0,0.0
0,Boxer/Labrador Retriever,Dog,By Jan-31-2019,38206.0,2,31788.0
1,Boxer/Labrador Retriever,Dog,By Feb-28-2019,0.0,0,0.0
2,Boxer/Labrador Retriever,Dog,By Mar-31-2019,0.0,0,0.0
1,Bullmastiff,Dog,By Jan-31-2019,0.0,0,0.0
2,Bullmastiff,Dog,By Feb-28-2019,0.0,0,0.0
0,Bullmastiff,Dog,By Mar-31-2019,75204.0,1,75204.0
0,Bullmastiff Mix,Dog,By Jan-31-2019,38206.0,1,38206.0
1,Bullmastiff Mix,Dog,By Feb-28-2019,0.0,0,0.0
2,Bullmastiff Mix,Dog,By Mar-31-2019,0.0,0,0.0
1,Cairn Terrier Mix,Dog,By Jan-31-2019,0.0,0,0.0
